Game Name,Full Retail Price,Discounted Price,Number of Owners (Before Sale),Number of Owners (After Sale),Game Genre,Months Since Release,,
Counter-Strike: Global Offensive,$14.99 ,$7.49 ,"22,273,413","22,891,335",Shooter,51.131507,,
Counter-Strike: Source,$19.99 ,N/A,"14,869,820","14,950,456",Shooter,144.78904,,
Left 4 Dead 2,$19.99 ,$3.99 ,"14,125,477","14,518,139",Shooter,84.263013,,
Half Life 2: Deathmatch,$4.99 ,$3.99 ,"13,505,650","13,634,900",Shooter,144.78904,,
Garry's Mod,$9.99 ,$3.99 ,"11,501,361","11,914,420",Sandbox,119.88767,,
The Elder Scrolls V: Skyrim,$19.99 ,$9.99 ,"10,477,170","10,645,119",RPG,60.49315,,
Half Life 2,$9.99 ,$1.99 ,"9,433,687","9,585,388",Shooter,144.29589,,
Portal,$9.99 ,$1.99 ,"9,160,101","9,327,497",Puzzle-Platform,109.49315,,
Sid Meier's Civilization V,$29.99 ,$7.49 ,"8,745,715","8,981,488",Strategy,74.131507,,
Portal 2,$19.99 ,$4.99 ,"7,946,504","8,230,038",Puzzle-Platform,67.19726,,
Terraria,$9.99 ,$4.99 ,"7,427,895","7,592,545",Action-Adventure,66.29589,,
Day of Defeat,$4.99 ,$1.24 ,"7,365,260","7,442,927",Shooter,162.78904,,
Deathmatch Classic,$4.99 ,$1.24 ,"7,250,264","7,320,183",Shooter,185.78904,,
Ricochet,$4.99 ,$0.99 ,"7,235,232","7,309,588",Shooter,192.78904,,
PAYDAY 2,$19.99 ,$4.99 ,"6,354,593","6,896,394",Shooter,39.39452,,
Half-Life Deathmatch: Source,$9.99 ,$1.99 ,"6,446,294","6,521,702",Shooter,126.78904,,
Borderlands 2,$19.99 ,$4.99 ,"6,307,246","6,363,556",Shooter,50.230137,,
Day of Defeat: Source,$9.99 ,$2.49 ,"6,172,959","6,247,531",RPG,76.427397,,
Half-Life 2: Episode One,$7.99 ,$1.59 ,"5,960,003","6,042,355",Shooter,125.78904,,
Half-Life,$9.99 ,$1.99 ,"5,627,542","5,754,747",Shooter,216.558903,,
Half-Life 2: Episode Two,$7.99 ,$1.59 ,"5,420,549","5,464,296",Shooter,109.49315,,
Team Fortress Classic,$4.99 ,$0.99 ,"5,141,752","5,258,345",Shooter,211.78904,,
Half-Life: Opposing Force,$4.99 ,$0.99 ,"5,129,476","5,251,626",Shooter,204.78904,,
