pfull,pdisc,ownbe,ownaf,genre,month
14.99,7.49,22273413,22891335,Shoot,51.13
19.99,NA,14869820,14950456,Shoot,144.79
19.99,3.99,14125477,14518139,Shoot,84.26
4.99,3.99,13505650,13634900,Shoot,144.79
9.99,3.99,11501361,11914420,Misc,119.89
19.99,9.99,10477170,10645119,Rpg,60.49
9.99,1.99,9433687,9585388,Shoot,144.3
9.99,1.99,9160101,9327497,Misc,109.49
29.99,7.49,8745715,8981488,Strat,74.13
19.99,4.99,7946504,8230038,Misc,67.2
9.99,4.99,7427895,7592545,Acad,66.3
4.99,1.24,7365260,7442927,Shoot,162.79
4.99,1.24,7250264,7320183,Shoot,185.79
4.99,0.99,7235232,7309588,Shoot,192.79
19.99,4.99,6354593,6896394,Shoot,39.39
9.99,1.99,6446294,6521702,Shoot,126.79
19.99,4.99,6307246,6363556,Shoot,50.23
9.99,2.49,6172959,6247531,Rpg,76.43
7.99,1.59,5960003,6042355,Shoot,125.79
9.99,1.99,5627542,5754747,Shoot,216.56
7.99,1.59,5420549,5464296,Shoot,109.49
4.99,0.99,5141752,5258345,Shoot,211.79
4.99,0.99,5129476,5251626,Shoot,204.79
4.99,0.99,5113191,5230437,Shoot,185.79
19.99,9.99,4840858,4884429,Shoot,84.43
59.99,35.99,4583808,4814658,Acad,19.36
14.99,3.74,4561010,4595270,Shoot,80.3
14.99,9.74,4401168,4497850,Acad,7.13
29.99,7.49,4236565,4438158,Shoot,43.99
9.99,4.99,4397911,4413609,Rpg,73.2
19.99,3.99,4106537,4288281,Shoot,96.26
19.99,4.99,4104282,4191120,Acad,44.66
14.99,1.5,4105535,4165537,Shoot,61.16
19.99,2.99,3945442,4115406,Rpg,66.26
14.99,3.74,3990539,4004807,Acad,80.07
19.99,9.99,3869780,3997830,Acad,35.46
19.99,4.99,3937676,3984910,Acad,95.76
19.99,3.94,3891076,3959586,Shoot,76.89
9.99,3.74,3746016,3784127,Acad,60.33
9.99,9.99,2580522,3746916,Misc,63.76
24.99,3.74,3688893,3746399,Misc,49.3
19.99,11.99,3497233,3738647,Misc,16.59
9.99,2.49,3482953,3547167,Acad,70
19.99,2.99,3145982,3508147,Strat,43.53
29.99,16.49,3217384,3434243,Acad,17.76
14.99,3.74,3416561,3433726,Acad,43.07
59.99,29.99,3258471,3361113,Rpg,12.39
19.99,4.99,3257470,3301162,Shoot,90.36
39.99,19.99,3225151,3268603,Shoot,60.56
19.99,3.99,3102388,3259042,Rpg,218.03
19.99,4.99,3046519,3097537,Acad,50.59
12.99,2.59,2965596,2995207,Shoot,88.89
14.99,2.99,2902711,2994949,Misc,49.99
19.99,4.99,2849096,2918718,Rpg,84.99
19.99,6.89,2816777,2887968,Misc,46.3
9.99,1.49,2818030,2870138,Rpg,98.3
9.99,1.99,2816527,2838354,Shoot,149.79
59.99,19.79,2787965,2830343,Shoot,48.43
29.99,7.49,2802998,2836545,Strat,68.33
19.99,4.99,2779447,2824916,Strat,122.46
19.99,4.99,2769175,2806569,Shoot,47.69
14.99,3.74,2770177,2797267,Acad,39.16
9.99,4.49,2733098,2764449,Shoot,34.1
19.99,4.99,2561982,2656176,Acad,94.39
19.99,12.99,2585282,2643514,Misc,9.23
19.99,4.99,2507866,2632661,Rpg,51.07
19.99,4.99,2622862,2632144,Acad,79.39
19.99,4.99,2601817,2631369,Acad,79.99
14.99,3.74,2555969,2630077,Acad,137.62
19.99,4.99,2541688,2592091,Strat,93.23
9.99,4.99,2541438,2572968,Shoot,75.62
39.99,19.99,2420680,2517152,Shoot,38.43
9.99,4.99,2454251,2515343,Acad,49.53
19.99,2.99,2476048,2500873,Misc,41.62
19.99,12.99,2462269,2492604,Misc,22.33
9.99,2.99,2464273,2480458,Strat,50.36
29.99,11.99,2358296,2431102,Misc,20.49
14.99,1.49,2388110,2430069,Misc,71.85
9.99,NA,2381095,2395701,Rpg,156.2
19.99,3.99,2323472,2371669,Rpg,74.07
9.99,2.49,2307437,2341693,Misc,31.79
7.5,0.74,2255326,2289236,Misc,77.79
19.99,4.99,2222746,2278642,Strat,109.95
19.99,4.99,2200458,2259778,Rpg,79.82
14.99,3.74,2216994,2225410,Strat,51.85
9.99,2.49,2213737,2221275,Acad,93.92
19.99,4.99,2147345,2172694,Strat,81
19.99,4.99,2132312,2156415,Shoot,94.53
19.99,9.99,2009049,2155123,Acad,25.85
14.99,NA,2126049,2133933,Acad,4.1
29.99,7.49,2062162,2104733,Shoot,68.1
14.99,11.99,2030595,2069848,Misc,29.85
19.99,4.99,2004038,2057186,Strat,91.53
24.99,6.24,1982742,2031862,Misc,55.03
14.99,2.99,1856973,2029536,Misc,30.33
9.99,2.49,1884783,1971136,Shoot,49.07
39.99,24.99,1707654,1935993,Rpg,18.23
14.99,2.99,1843945,1898265,Misc,37.26
39.99,3.99,1808369,1859762,Shoot,60.1
29.99,8.74,1771791,1856920,Strat,41
29.99,7.49,1692371,1847617,Rpg,32.72
19.99,4.99,1745735,1810406,Strat,80.46
29.99,7.49,1744733,1803946,Rpg,80.79
24.99,7.49,1731455,1784307,Misc,37.07
29.99,7.49,1551570,1746321,Misc,13.62
19.99,4.99,1629236,1736243,Shoot,80.76
39.99,7.99,1569107,1727974,Strat,58.66
